LEAGUE ID , Week Number , Home Team , Away Team , Home Goals, Away Goals , Total Goals
1287949,18,MNU, NWC , 2, 1, 3
1287949,18,CRY,SOU,1, 2, 3
1287949,18,ARS,LEI,0,1,1
1287949,18,SUN,WHU,0,0,0
1287949,18,BOU,MNC,1,2,3
1287949,18,WAT,WBA,4,2,6
1287949,18,EVE,ASV,1,0,1
1287949,18,SWA,TOT,2,2,4
1287949,18,STC,CHE,0,3,3
1287949,18,NOR,LIV,1,1,2
1287949,19,NWC,BOU,0,1,1
1287949,19,LIV,ARS,0,2,2
1287949,19,WBA,STC,3,2,5
1287949,19,LEI,SUN,2,0,2
1287949,19,TOT,MNU,0,2,2
1287949,19,WHU,WAT,0,0,0
1287949,19,MNC,EVE,1,1,2
1287949,19,CHE,SWA,2,0,2
1287949,19,SOU,NOR,4,0,4
1287949,19,ASV,CRY,2,0,2
1287949,20,WBA,CHE,1,1,2
1287949,20,ASV,NOR,1,1,2
1287949,20,TOT,BOU,0,1,1
1287949,20,SWA,MNU,2,1,3
1287949,20,LEI,WAT,2,0,2
1287949,20,MNC,CRY,0,2,2
1287949,20,SOU,ARS,1,2,3
1287949,20,NWC,EVE,2,2,4
1287949,20,WHU,STC,1,1,2
1287949,20,LIV,SUN,0,1,1
1287949,21,NOR, MNC,3,2,5
1287949,21,WBA,SWA,1,1,2
1287949,21,EVE,TOT,1,1,2
1287949,21,SUN,SOU,3,1,4
1287949,21,WAT,LIV,1,0,1
1287949,21,CHE,WHU,2,0,2
1287949,21,BOU,MNU,2,2,4
1287949,21,ARS,ASV,2,0,2
1287949,21,CRY,NWC,3,0,3
1287949,21,STC,LEI,1,2,3
1287949,22,TOT,CRY,1,1,2
1287949,22,LIV,STC,4,0,4
1287949,22,SOU,WAT,1,0,1
1287949,22,MNU,EVE,3,1,4
1287949,22,ASV,SUN,0,1,1
1287949,22,LEI,CHE,1,4,5
1287949,22,MNC,ARS,0,0,0
1287949,22,NWC,NOR,2,2,4
1287949,22,SWA,BOU,2,2,4
1287949,22,WHU,WBA,1,1,2
1287949,23,EVE,BOU,1,1,2
1287949,23,WBA,LEI,0,0,0
1287949,23,CHE,LIV,2,1,3
1287949,23,ARS,NWC,2,1,3
1287949,23,WHU,SWA,0,0,0
1287949,23,SUN,MNC,2,1,3
1287949,23,CRY,MNU,0,3,3
1287949,23,NOR,TOT,0,3,3
1287949,23,WAT,ASV,2,1,3
1287949,23,STC,SOU,3,1,4
1287949,24,BOU,CRY,1,1,2
1287949,24,SOU,CHE,3,0,3
1287949,24,LEI,WHU,3,2,5
1287949,24,ASV,STC,2,2,4
1287949,24,LIV,WBA,3,1,4
1287949,24,SWA,EVE,3,2,5
1287949,24,NWC,SUN,3,1,4
1287949,24,MNU,NOR,2,0,2
1287949,24,TOT,ARS,3,1,4
1287949,24,MNC,WAT,4,0,4
1287949,25,LEI,SWA,1,1,2
1287949,25,WAT,NWC,2,1,3
1287949,25,WHU,LIV,1,1,2
1287949,25,SUN,TOT,2,2,4
1287949,25,CRY,EVE,1,0,1
1287949,25,NOR,BOU,2,2,4
1287949,25,STC,MNC,1,2,3
1287949,25,ARS,MNU,2,2,4
1287949,25,CHE,ASV,3,2,5
1287949,25,WBA,SOU,1,0,1
1287949,26,SOU,WHU,1,1,2
1287949,26,EVE,NOR,3,2,5
1287949,26,LIV,LEI,3,0,3
1287949,26,ASV,WBA,0,0,0
1287949,26,NWC,STC,1,3,4
1287949,26,SWA,CRY,3,3,6
1287949,26,BOU,ARS,0,2,2
1287949,26,MNC,CHE,3,1,4
1287949,26,TOT,WAT,1,1,2
1287949,26,MNU,SUN,2,2,4
1287949,27,WAT,MNU,2,2,4
1287949,27,ARS,EVE,4,1,5
1287949,27,WHU,ASV,4,2,6
1287949,27,LEI,SOU,1,O,1
1287949,27,SUN,BOU,0,2,2
1287949,27,STC,TOT,3,1,4
1287949,27,CHE,NWC,3,1,4
1287949,27,NOR,CRY,0,3,3
1287949,27,WBA,MNC,1,1,2
1287949,27,LIV,SWA,1,2,3
1287949,28,TOT,CHE,1,2,3
1287949,28,SWA,NOR,1,0,1
1287949,28,EVE,SUN,1,3,4
1287949,28,MNC,WHU,1,2,3
1287949,28,ASV,LEI,1,1,2
1287949,28,CRY,ARS,3,0,3
1287949,28,MNU,STC,1,2,3
1287949,28,SOU,LIV,0,2,2
1287949,28,NWC,WBA,2,2,4
1287949,28,BOU,WAT,O,2,2
1287949,29,SUN,CRY,1,2,3
1287949,29,WBA,TOT,1,2,3
1287949,29,WAT,EVE,1,2,3
1287949,29,LEI,MNC,1,4,5
1287949,29,SOU,SWA,0,1,1
1287949,29,ARS,NOR,1,0,1
1287949,29,LIV,ASV,0,2,2
1287949,29,CHE,MNU,0,0,0
1287949,29,STC,BOU,1,1,2
1287949,29,WHU,NWC,3,1,4
